Film,Genre,Director,Year released,IMDB link,Country
Brief Encounter,Romance,David Lean ,1945,http://www.imdb.com/title/tt0037558/,UK
Casablanca,Romance,Michael Curtiz,1942,http://www.imdb.com/title/tt0034583/,USA
Before Sunrise,Romance,Richard Linklater,1995,http://www.imdb.com/title/tt0112471/,USA
Before Sunset,Romance,Richard Linklater,2004,http://www.imdb.com/title/tt0381681,USA
Breathless,Romance,Jean-Luc Godard,1960,http://www.imdb.com/title/tt0053472/,France
In the Mood for Love,Romance,Kar Wai Wong,2000,http://www.imdb.com/title/tt0118694/,Hong Kong
The Apartment,Romance,Billy Wilder,1960,http://www.imdb.com/title/tt0053604/,USA
Hannah & Her Sisters,Romance,Woody Allen ,1986,http://www.imdb.com/title/tt0091167/,USA
Eternal Sunshine of the Spotless Mind,Romance,Michel Gondry,2004,http://www.imdb.com/title/tt0338013/,USA
Room With a View,Romance,James Ivory,1985,http://www.imdb.com/title/tt0091867/,UK
Jules et Jim,Romance,François Truffaut,1962,http://www.imdb.com/title/tt0055032/,France
All That Heaven Allows,Romance,Douglas Sirk,1955,http://www.imdb.com/title/tt0047811/,USA
Gone with the Wind,Romance,Victor Fleming,1939,http://www.imdb.com/title/tt0031381/,USA
An Affair to Remember,Romance,Leo McCarey,1957,http://www.imdb.com/title/tt0050105/,USA
Umbrellas of Cherbourg,Romance,Jaques Demy ,1964,http://www.imdb.com/title/tt0058450/,France
Lost in Translation,Romance,Sofia Coppola,2003,http://www.imdb.com/title/tt0335266/,USA
Roman Holiday,Romance,William Wyler,1953,http://www.imdb.com/title/tt0046250/,USA
Wall-E,Romance,Andrew Stanton,2008,http://www.imdb.com/title/tt0910970/,USA
My Night With Maud,Romance,Eric Rohmer,1969,http://www.imdb.com/title/tt0064612/,France
Voyage to Italy,Romance,Roberto Rossellini,1954,http://www.imdb.com/title/tt0046511/,Italy
Dr Zhivago,Romance,David Lean,1965,http://www.imdb.com/title/tt0059113/,USA
Harold & Maude,Romance,Hal Ashby,1971,http://www.imdb.com/title/tt0067185/,USA
When Harry Met Sally,Romance,Rob Reiner,1989,http://www.imdb.com/title/tt0098635/,USA
Say Anything....,Romance,Cameron crowe,1989,http://www.imdb.com/title/tt0098258/,USA
Fabulous Baker Boys,Romance,Steve Kloves,1989,http://www.imdb.com/title/tt0097322/,USA
A Matter of Life & Death,Romance, Emeric Pressburger,1946,http://www.imdb.com/title/tt0038733/,UK
Chinatown,Crime,Roman Polanski,1974,http://www.imdb.com/title/tt0071315/,USA
Touch of Evil,Crime,Orson Welles,1958,http://www.imdb.com/title/tt0052311/,USA
Vertigo,Crime,Alfred Hitchcock,1958,http://www.imdb.com/title/tt0052357/,USA
 Badlands,Crime,Terrence Malik,1973,http://www.imdb.com/title/tt0069762/,USA
Rashomon,Crime,Akira Kurosawa,1950,http://www.imdb.com/title/tt0042876/,Japan
Double Indemnity,Crime,Billy Wilder,1944,http://www.imdb.com/title/tt0036775/,USA
Get Carter,Crime,Mike Hodges,1971,http://www.imdb.com/title/tt0067128/,UK
Pulp Fiction,Crime,Quentin Tarantino,1994,http://www.imdb.com/title/tt0110912/,USA
Hidden,Crime, Michael Haneke,2005,http://www.imdb.com/title/tt0387898/,France
Goodfellas,Crime,Martin Scorsese,1990,http://www.imdb.com/title/tt0099685/,USA
The Conversation,Crime,Coppola Brothers,1974,http://www.imdb.com/title/tt0071360/,USA
Bonnie & Clyde,Crime,Arthur Penn,1967,http://www.imdb.com/title/tt0061418/,USA
The Killing,Crime,Stanley Kubrick,1956,http://www.imdb.com/title/tt0049406/,USA
French Connection,Crime,William Friedkin,1971,http://www.imdb.com/title/tt0067116/,USA
The Big Sleep,Crime,Howard Hawkes,1946,http://www.imdb.com/title/tt0038355/,USA
La Ceremonie,Crime,Claude Chabrol,1995,http://www.imdb.com/title/tt0112769/,France
Point Blank,Crime,John Boorman,1967,http://www.imdb.com/title/tt0062138/,USA
Hard Boiled,Crime,John Woo,1992,http://www.imdb.com/title/tt0104684/,Hong Kong
Long Good Friday,Crime,John McKenzie,1980,http://www.imdb.com/title/tt0081070/,UK
A Prophet,Crime,Jacques Audiard ,2009,http://www.imdb.com/title/tt1235166/,France
Heat,Crime,Michael Mann,1995,http://www.imdb.com/title/tt0113277/,USA
Scarface,Crime,Brian De Palma,1983,http://www.imdb.com/title/tt0086250/,USA
Miller’s Crossing,Crime,Joel Coen,1990,http://www.imdb.com/title/tt0100150/,USA
Postman Always Rings Twice,Crime,Tay Garnett,1946,http://www.imdb.com/title/tt0038854/,USA
Jour Se Leve,Crime,Marcel Carne,1939,http://www.imdb.com/title/tt0031514/,France
Annie Hall,Comedy,Woody Allen,1977,http://www.imdb.com/title/tt0075686/,USA
Borat,Comedy,Larry Charles,2006,http://www.imdb.com/title/tt0443453/,USA
Some Like it Hot,Comedy,Billy Wilder,1959,http://www.imdb.com/title/tt0053291/,USA
Team America,Comedy,Trey Parker,2004,http://www.imdb.com/title/tt0372588/,USA
Dr Strangelove,Comedy,Stanley Kubrick,1964,http://www.imdb.com/title/tt0057012/,UK
The Ladykillers,Comedy,Alexander Mackendrick,1955,http://www.imdb.com/title/tt0048281/,UK
Duck Soup,Comedy,Leo McCarey,1933,http://www.imdb.com/title/tt0023969/,USA
Rushmore,Comedy,Wes Anderson,1998,http://www.imdb.com/title/tt0128445/,USA
Kind Hearts & Coronets,Comedy,Robert Hamer,1949,http://www.imdb.com/title/tt0041546/,UK
Monty Python’s Life of Brian,Comedy,Terry Jones,1979,http://www.imdb.com/title/tt0079470/,UK
Airplane!,Comedy,Jim Abrahams,1980,http://www.imdb.com/title/tt0080339/,USA
Election,Comedy,Alexander Payne,1999,http://www.imdb.com/title/tt0126886/,USA
His Girl Friday,Comedy,Howard Hawkes,1940,http://www.imdb.com/title/tt0032599/,USA
The Big Lebowski,Comedy,Joel Coen,1998,http://www.imdb.com/title/tt0118715/,USA
This Is Spinal Tap,Comedy,Rob Reiner,1984,http://www.imdb.com/title/tt0088258/,USA
Bringing Up Baby,Comedy,Howard Hawkes,1938,http://www.imdb.com/title/tt0029947/,USA
There’s Something About Mary,Comedy,Peter & Bob Farrelly,1998,http://www.imdb.com/title/tt0129387/,USA
Dazed and Confused,Comedy,Richard Linklater,1993,http://www.imdb.com/title/tt0106677/,USA
MASH,Comedy,Robert Altman,1970,http://www.imdb.com/title/tt0066026/,USA
Groundhog Day,Comedy,Harold Ramis,1993,http://www.imdb.com/title/tt0107048/,USA
Clueless,Comedy,Amy Heckerling,1995,http://www.imdb.com/title/tt0112697/,USA
The Great Dictator,Comedy,Charlie Chaplin,1940,http://www.imdb.com/title/tt0032553/,USA
Clerks,Comedy,Kevin Smith,1994,http://www.imdb.com/title/tt0109445/,USA
The Jerk,Comedy,Carl Reiner,1979,http://www.imdb.com/title/tt0079367/,USA
Shaun of the Dead,Comedy,Edgar Wright,2004,http://www.imdb.com/title/tt0365748/,UK
Apocalypse Now,Action,Francis Coppola,1979,http://www.imdb.com/title/tt0078788/,USA
North by Northwest,Action,Alfred Hitchcock,1959,http://www.imdb.com/title/tt0053125/,USA
Once Upon a Time in the West,Action,Sergio Leone,1968,http://www.imdb.com/title/tt0064116/,Italy
The Wild Bunch,Action,Sam Pekinpah,1969,http://www.imdb.com/title/tt0065214/,USA
Deliverance,Action,John Boorman ,1972,http://www.imdb.com/title/tt0068473/,USA
City of God,Action,Fernando Meirelles,2002,http://www.imdb.com/title/tt0317248/,Brazil
Paths of Glory,Action,Stanley Kubrick,1957,http://www.imdb.com/title/tt0050825/,USA
The Wages of Fear,Action,Henri-Georges Clouzot,1953,http://www.imdb.com/title/tt0046268/,France
Crouching Tiger Hidden Dragon,Action,Ang Lee,2000,http://www.imdb.com/title/tt0190332/,Taiwan
 The Thin Red Line,Action,Terrence Malik,1998,http://www.imdb.com/title/tt0120863/,USA
Raiders of the Lost Ark,Action,Steven Spielberg,1981,http://www.imdb.com/title/tt0082971/,USA
 Bullitt,Action,Peter Yates,1968,http://www.imdb.com/title/tt0062765/,USA
Ran,Action,Akira Kurosawa,1985,http://www.imdb.com/title/tt0089881/,Japan
Die Hard,Action,John McTeirnan,1988,http://www.imdb.com/title/tt0095016/,Japan
The Adventures of Robin Hood,Action,Michael Curtiz,1938,http://www.imdb.com/title/tt0029843/,USA
